user_name,date,num_stars,review,num_likes,user_name_answer,date_answer,answer
Ajana Muranovic,"January 1, 2021",1,"The apps run my Mark get worse and worse each day...get it together or give them to someone able to run them..most recent annoying thing I noticed is that there are NO more birthday reminders, but instead you get reminders about things you could care less like ""they posted a story, they shared a video, a total stranger posted in a group"" I DON'T CARE !!!! MAKE AN EFFORT FFS 😑 I start to hate your apps and as soon as better apps come out you'll never see me on yours again, and I mean it...🤬",697,,,
Melissa M,"January 1, 2021",1,"Can't log in past 2-step ""Code Generator"" that I have ZERO access too & no code ever gets sent to my phone, like it says it has. It's been like this for a week, all bc I got a new phone. I've tried other log ins from different phones, computer, contacted my phone provider, submitted forms to FB, emailed the developer here - no response yet. I just want to log in ... & to change security settings, so this nightmare doesn't happen again & get into my account. Please help!!",690,,,
DJ Pâtes,"December 31, 2020",3,"Had to install FB Lite to see if the things I posted went through because sometimes some error causes the post to be non-editable (if there's such a word). Also Lite is lower in resource impact when using the messenger feature since it is geared towards regions with limited access to 3G/4G/LTE networks. If the current Messenger has those same resource lite features, I'm all for it. Otherwise, it would be great if the Facebook app could auto-integrate with similar apps to streamline messaging.",1191,,,
Jamie Centeno,"January 1, 2021",1,"I don't know what happened but the app keeps on crashing. It always logs me out, telling me that the session has expired. It started after the last 2 updates of your app. I've always enjoyed using this but hope you can fix this ASAP because it's so annoying!!",53,,,
Sophie Nicholson,"January 1, 2021",1,Complete pain in the arse to use. When you open a link it opens in a Facebook browser that has a messenger banner across the bottom so you can message whoever it is the link is for? Idk I've never used it. This helpful banner blocks the accept button for cookies on almost every website and makes it impossible to read news articles etc.,31,,,
sweh sweok,"December 31, 2020",1,"PLEASE fix the way we view photos in pages or someone's profile in the app. Everytime i swipe down, it refreshed. Each time i try to swipe up it'd get stuck. And what's the deal with not putting the photo section in one whole screen? Why does it have to be half screen? It's so damn tiny!! D:< I've been dealing this for God knows how long and i thought the new update would fix that. But it didn't. I even got a new phone and it still makes the same mistakes.",418,,,
Kill Matt,"December 31, 2020",5,Dark mode has finally become available for my model of phone. Love Facebook dark mode! I kept my word and gave the app five stars again. I still think there's way too many permissions. There is no reason why a social app should be able to access my microphone and Camera without my permission. It is an absolute privacy violation.,472,,,
James heakin,"January 1, 2021",1,"Way way way to many adds, it's stopped being a way to connect with friends and family and just become another way of advertising and annoying the users. If you could remove the adds it would be better and more tolerable. untill then I'm coming away and using another format. Shame really as it started off ok!",22,,,
Sonic Forces The Hedgehog,"January 1, 2021",5,"Works really well but needs some things worked on: 1: It needs to be to where whenever you close the app, It doesn't resume the session you was previously on. 2: Facebook is interfering with my Messenger Messages, It's really making it laggy and unresponsive. 3: Also, You need to make a Facebook For Kids app just like you did with Messenger Kids.",5491,,,
Pratap Muthukrishnan,"December 31, 2020",1,"The default language seems to be unchangeable. Seems very fishy... Even after I set it to English it is showing up in Kannada... Seems to be very intentional and can sense some pro activists agenda in it. Better sort it out. It doesn't go well with the brand.. 👎👎👎 Will wait for the next update. If this persists, I am closing out from FB permanently.",39,,,
P Law,"December 31, 2020",1,There are a couple of key features missing from the app that I think are essential to have. The ability to choose emotions other than like and the ability to use the message feature. Once these are addressed I will increase my rating.,22,,,
manmeet singh,"January 1, 2021",1,#facebook_will_be_back_soon Facebook is down for require maintenance right now but you should be able to get back on within few hours! I hate facebook without reason disable my account 🤬🤬🤬🤬 . My account review are completely done but now again says confirm your account. Even i do again but still running disable my account. This is very cheap service of Facebook. I confirmed my with id card and number also. But not done now. #facebook_cheap_service,186,,,
Randall Davis,"December 13, 2020",1,Haven't been able to log into the mobile app for three days now. I've uninstalled and reinstalled multiple times with no resolve. I can log in from my desktop and tablet but the app will not work on my phone. When will this issue be resolved. This is not the first time this has happened. 12/13/2020. Still experiencing the same issue why being force logged out by Facebook,2005,,,
