user_name,date,num_stars,review,num_likes,user_name_answer,date_answer,answer
Nicole Henry,"December 31, 2020",2,"This app needs to be updated to be optimized on the Surface Duo. My story posts don't appear correctly on my friends' screens. Also, when in landscape mode, the app is very thin and there is a static on the side of the app. It is very scary looking. Please fix this! Now with new way the app is for posting, I cannot even post! If I try to select multiple there is no way for me to select additional photos. They REALLY need to fix this screen orientation stuff. It seems like it's not that diff",275,,,
Clara's den,"December 30, 2020",4,"Hey..... So I have had some issues in the past with IG, such as: it was freezing, the filters didn't work and sometimes it wouldn't even let me open the app. But then a few months ago I updated it and everything was fine until now. My filters won't work at all😔😐😞. But it isn't overall a bad app. It works just fine but I would love to know why my filters are blocking. No hate just wanted to ask😂😅😊",247,,,
courtney catterson,"December 30, 2020",1,"I love this app but I was having problems posting (every time I tried to post, I was taken back to my home screen), so I uninstalled the app and installed it again. However, now the app will not open at all! I've researched how to fix it, and have also tried the ways others suggested, but nothing works. I've also spoken to others, and they said their app is working perfectly fine, so it's just mine. Please let me know how to fix this issue!!",241,,,
Dina Phan,"December 31, 2020",2,"Can't seem to change the layout of my images/videos. I tap on the ""square/rectangle"" icon in the bottom left, but on the next screen, it just goes back to the square option. Not ideal for videos, or landscape photos. New layout of buttons is also silly. Don't need the reels or shop button there. Post button should be back in the middle.",16,,,
Anthony,"December 31, 2020",4,"Great app for both learning a thing or two, and unwinding. There's one hitch I've come across thus far...volume. On my Android 10 device, holding down the volume up/down button (in-app) doesn't gradually increase/decrease the playing media's volume. I have to click the buttons multiple times, or click them once and then use the on-screen volume slider to either raise/reduce the volume. It's a little annoying ☹️",46,,,
Greys Place,"December 30, 2020",2,"ok, insta is good app. can get into contact with people, post stuff yeah, pretty cool. but that algorithm sucks. everyone knows this, your algorithm punishes people for not posting often, too much, or not using certain features. like what's up with that? as an artist I want to get my content out to people, not be stuck only getting my views on the home page. its ridiculous. not to mention when you changed the layout? that was terrible.",70,,,
Alisha Toppo,"December 30, 2020",4,"There's a glitch here and it is very irritating. I went to privacy settings and wanted to hide story from some people in my friend list. After a few days, I again changed the settings and removed those people from being hidden. Even after refreshing it several many times it shows the same previous settings that I made and not the second one. Now I don't know whether they can see my story or not as I already have removed them from being hidden. Please fix this asap.",53,,,
Rich Audet,"December 31, 2020",1,"Aspect ratio for android is broken, especially on igtv. I made my video 1:1 and it still forces a zoomed in version. I've been having this issue for over a month now. Additionally, ""Reels"" and ""Shop"" icons locations are terrible. Put them in the top right and put the ""new post"" and ""notifications"" back on the bottom where they were before. I understand from a business standpoint the shop icon being at the bottom may draw more attention... but the most utilized icons should be at the bottom.",9,,,
HoneyPleb,"December 31, 2020",4,"This is a great social media app, it's great and it more accessible for young aged people who don't have a phone number since you can access it with you gmail/email, you can also message friends on this app which is really cool, but there are some bad sides to this, first sometimes I can't access the page for some reason, second is that sometimes I can't find the pictures I took in my gallery and sometimes it also won't let me post my photos.",33,,,
Matias Suarez,"December 27, 2020",1,"This app got a lot worse than it was. Not only has the layout changed into something no one asked for, scrolling has become uncomfortable, algorithms changed into something silly, and features that aren't relevant were shoved into it. And to top it off, it's crashing very often on an up to date Galaxy S9. (Update: it seems I am unable to send profiles as private messages now. Why this feature is no longer available is beyond me.)",66,,,
Juliette Lepez,"December 10, 2020",2,"Great to share pictures, artworks we do and many other. There are problems though: takes a lot of your time and takes a lot of space on your phone, especially since last updates. Speaking of which, my friends and I had many bugs in the Direct section since last update, so I guess it is the cause of that. Plus I think that the latest updates were and are useless and just made to make ''new'' stuff. Result is that all this takes a lot of space for nothing and even worse: there are too many bugs.",2753,,,
Revathy Antony,"December 27, 2020",1,"Instagram used to be my fav app of all the time, but not anymore.. Its been almost 10 days since i can't post videos on my feed.. I tried after reinstalling the app, i tried it with a small sized video,but no use.. The video turns black once it get posted but the audio works fine. I tried so many times ,but all the results were same.. I asked some of my friends , and few of them are facing the same problem. I hope you guys do something to fix this problem as early as possible..☹️",48,,,
IAMABRAXAS,"December 21, 2020",4,"I've been using instagram for many years. This year, I am using it for a deeper purpose and I must say, Instagram took the time to ensure that there are instructions about everything, everywhere which makes the process smoother than expected. Still using instagram and I'm getting deeper and deeper within myself, I use it for my personal growth, maybe one day people will relate to what I am doing as I find it to be a healing process.",149,,,
Protecc Makii,"December 25, 2020",2,"I hope im not the only one but it lags everytime i open it, like most of the time, it pissed me off i cant even type anything. Yes i've tried on another apps, and it doesn't lag so i'm guessing it Insta's fault. Oh and I tried to post something on my story, but it kept saying ""error"", this wasn't my first time, it happend like all the time. It took me 5 or 6 times to repost it. I hope you could fix the problems ASAP.",42,,,
