user_name,date,num_stars,review,num_likes,user_name_answer,date_answer,answer
Rayanna Shrock,"January 1, 2021",1,The last month or so when I go to watch the screen ie black but the audio is playing or the scene judt freezes but the audio keeps going. I've checked for updates. I've used data and wifi. I've uninstalled and reinstalled the app. I've reset my phone. I've tried multiple wifi connections. Nothing makes a difference. I'm highly disappointed.,91,,,
meepawe,"December 31, 2020",2,"It doesn't let me watch. I know it may sound weird but i keep installing and uninstalling this app for one reason. It doesn't show me anything, only the caption. I have this installed in a year now and I have no problem since but recently it's bugging me. I don't know the reason why. It keeps lagging, though my internet connection is very well fast and speed. So yep, alwayslagging and I can't even watch and chill. I don't know what to do.",171,,,
Harry Bishop,"December 25, 2020",5,"I love the app. Love what it offers, but it is never free, in any way, shape or form. To be #4 free on Google is a straight up false statement. Period. Netflix isn't free. Nuff said. Free trial is only when you enter in your credit/debit info. Hmmm, free is only free, with strings attached it seems. Cancel, it is free. Forget, you now pay. Oops, on you. Better for them. Free means freely given. Or, call me a liar. Up to you.",717,,,
Shreya,"December 31, 2020",3,"Not able to play only one particular episode, while the rest can be played. Tried changing network but still only that one particular episode doesn't play. Also, everytime I pause on an episode and leave the app, and when I go back to it again later, it doesn't start from the place where I paused. Please fix the issues.",9,,,
Debbyani Chakraborty,"December 31, 2020",1,While signing up it is creating a lot of problems and i can't do it smoothly. This app deserves 5 star but sorry to say due to some problems i can't give 5 star. Infact this app is not working. It is not upto the mark as i thought it would be. Watching web series or movie would be better with friends or family but this sort of rigorous problems is totally abolishing my impression towards this app.,12,,,
Mursal Ali Hussein,"December 27, 2020",1,"Normally this would be a five star app in my eyes. But for some reason, the app has mysteriously refused to work. Everytime I've tried opening it i get hit with ""sorry, we can't access the netflix service at this time. Please try again later (-1001) error"" I've formatted my phone, reinstalled the app and tried using multiple different networks. Nothing has worked. I can log in fine from all my other devices. Just not my phone. I've tried contacting the support line, but they have been no help",392,,,
Michelle Hogarth,"December 15, 2020",4,"I love this app, but I think that 'My List' can be improved. I'd love to be able to add labels/categories to my list or even rank them. So I can easily find the things I saved to watch later. It should also to be easier to remove something from the 'My List' view, rather than having to click into a show and remove it there, and then when you go back to the List view it's lost your place and you have to start scrolling from the top again. Easy fixes that will really improve this feature!",1467,,,
Vidhi Thakor,"December 30, 2020",5,"Netlfix, as always is most amazing in it's way, though i would like to suggest that it should include a lot more legendary shows from all across the globe. Plus, i have one little request that if possible, may netflix introduce a feature where we can get that match percentage shows in a different section and and not look through the search bar. Thank you.",21,,,
Riley McGillivray,"December 26, 2020",3,"Good experience most of the time, but the app will not always keep good track of where you left off, especially if you exit out of the app without pausing. My main reason for the 3 stars is that it will sometimes have serious stop-and-start stuttering of the video. This isn't due to connection, because the problem persists on downloaded episodes. I'm on a pixel 3, so I shouldn't have a problem with any video player. This may be make it break if this continues.",312,,,
원스guitar사이,"December 12, 2020",3,"This is a very cool app. The recommendations are good, how each movie/tv show is sorted into categories is the best feature for me. Also, it connects flawlessly to my Google Chromecast. So far the only issue I have here is that it kinda gets messy if I add items to ""My List"", e.g., if I wanted to watch a movie I added a long time ago, I had to keep scrolling ridiculously to reach the far end where it's located. It can be improved by adding categories section to ""My List"". Hope this'll be added",649,,,
Cory Oliver,"December 14, 2020",1,This app sucks. It glitches all the time. It freezes up constantly and no its not my connection. I just did your update and it fixed nothing. And sad part Noone is going to respond to this. I won't be renewing my subscription if this doesn't get fixed. Not to mention your high prices for b rated and old movies. You should be ashamed of yourself. Netflix is nowhere what it use to be.,770,,,
Angela Broccone,"December 20, 2020",4,"The app works fine, but if I'm watching something on my phone and then close it out, it never starts where its supposed yoo, or it completely restarts an episode. I have ZERO issues with playing on the PS4. I can close out the android app and open it on there and it never gives me any trouble. I do the majority of watching on my phone, and this is really becoming an issue. Please find a way to fix. This is something I've noticed pretty recently. It hasn't always been this way!",696,,,
Aaron Joshua Manabat,"December 9, 2020",1,"I got some errors everyday. Even though I download it a days ago I can't log in because it says"" something went wrong"" so I checked my connection but it has a good signal. One day I passed through the payment process and get some code that will send to my number and nothing is happening. Later, After many HOURS!, the code sent to me!!. The heck?! Do I need to wait that long for a code?? Please fix this. So I can rate ⭐⭐⭐⭐⭐",621,,,
Anmol Rout,"December 30, 2020",4,Netflix is a nice way of watching things that you can't find...but the reason I gave this four stars because I was literally watching Gossip Girl Season 3 when they decided to cancel it. I had to skip some scenes and have managed to reach Season 5 but there should be something for people who are still watching a series that is about to leave Netflix,10,,,
Robyn Vaughan,"December 25, 2020",5,"Next to YouTube, Netflix ranks #2 in my book of best apps ever created. I love that there are always new movie and TV show titles flowing in to keep the selection interesting, especially when something I love & haven't seen in ages pops up. I'll be like, ""I totally forgot about this movie! Let's watch it again right now!"" Times like that are the best because I know it's going to be a great night. Thanks for being YOU, Netflix! 💖👍🏻",701,,,
Mariam Krayem,"December 28, 2020",4,"Netflix was always fun and you get to watch great shows for a small amount of money. Lately though, everytime I am watching the scene freezes but the audio continues. This has been happening for 4 days now and I am 100% sure the problem is not my wifi because all the other apps work perfectly. I can't even watch 3 seconds of the shows without it glitching. Please help.",304,,,
Modern Times,"December 20, 2020",1,"Sometimes, the app does not play any video. It is stuck at the loading screen. I can browse through the shows, I can see images and episodes info. My internet works fine everywhere. But Netflix simply won't play anything. It is so annoying. Plz fix this issue. I have cleared app's data, reinstalled it, tried multiple new and old versions. But the problem is still there.",279,,,
skaxstx,"December 21, 2020",1,"I seem to be having the same issue as ""modern times"". All my other apps work perfectly fine, as so does my internet, but whenever I try to watch something on Netflix, only the audio plays and the screen is either black or extremely laggy. I can still see all the viewing options for movies etc. It would be deeply appreciated if this issue would be fixed ASAP as I have money going down the drain right now for not being able to use the app to its full potential.",458,,,
Abel Solomon Taye,"December 25, 2020",4,"Great movie streaming up. Quality is good. Only issue that comes up is sometimes it will get stuck after you start a movie you had stopped watching. To fix the issue, just have to close the app and restart it. Easy fix but can be slighty annoying if you have started and stopped watching several times. Nonetheless very minor issue. Tons of choices to watch for the whole family.",259,,,
William Pearson,"December 28, 2020",4,A great way to watch some shows and movies! And some shows have lasted much longer than others! I can even watch shows on Netflix I cannot watch anywhere else! What I don't like is when the shows I like disappear and I wish many cartoons that were on Netflix were back! Fortunately some shows do come back! Cannot think of anymore to say but I hope I can continue using Neflix for a long time!,253,,,
S Kirby Phone,"December 22, 2020",1,"Nothing is loading. I can't watch anything. Everything I click on it says ""This title is unavailable"". THERE IS NO EXPLANATION. WHY?! I have restarted my phone and the app is up to date. Fix this problem. Very annoying having yet another lockdown when I can't watch anything. Please don't make me resort to leaving Netflix and using Amazon Prime instead... cus we both don't want that to happen.",568,,,
