user_name,date,num_stars,review,num_likes,user_name_answer,date_answer,answer
Farman Ali,"January 1, 2021",4,"In my opinion spotify is better than any other app for streaming songs, but there are some issues I want to address. 1. First is the adds. You should limit the number of adds a user can see. Sometimes adds just keep on coming one after another. And when you stream the first song it asks if you want to see an add, so that you can listen to your songs for 30 min. non-stop, ok Understandable. But when I click on 'No thanks', it just keeps on showing me adds one after another.",171,,,
Gabriel Orrantia,"December 31, 2020",3,Something completely went wrong!!! I've been paying for Premium and I expect it to be worth my cash! Spotify won't play any music when I log in. I've uninstalled and reinstalled multiple times and done everything I can think of. The online community doesn't even have anything to offer help wise. I don't know if it's the app or my actual phone anymore. I log in on another device and it works. Whats going wrong and how do I get it fixed?,93,,,
Andre Wessels,"December 31, 2020",1,"Very very dissapointed, I've been using this app for 3 years with absolutely no problem. But now it seems that times have changed. The app is starting to mute my music at random, not adjusting the volume, but simply doesn't play the song while the song shows that it's still playing. Not just that, but it reën removes a lot of my downloaded music now and again. Very sad to see this app end its life cycle.",231,,,
mia luvly,"December 30, 2020",2,"I love Spotify but lately I have been having some problems with actually listening to what I am playing. On speakers I can listen, but on the actual device I can't. I have tried logging out and signing back in, deleting the app and reinstalling it multiple times, and it still doesn't work. Reading a lot of these reviews got me thinking that Spotify has a problem with it's app on android devices. I hope they improve.",53,,,
Marissa Cimino,"December 31, 2020",1,"This app used to be great but after the update it will pause a song randomly, multiple times throughout the course of the song. And it does this for every single song i play. I've tried uninstalling and reinstalling the app, restarting my phone, clearing the cache, and logging out of everything. Nothing works. I used to like this app a lot but lately it's more trouble than it's worth.",27,,,
S P Red Panda,"December 30, 2020",2,"Has a lot of ads, you can only skip 6 times an hour every hour (you can't save up skips), songs are added to my playlists, including the liked songs playlist (and they're awful songs, as well as ones I hadn't heard of or liked, which is why you need the skips) and if you want anything that makes the app in some way good, you have to pay for it. The only reason I won't delete it is because some songs that I like are posted there and not YouTube. But yeah. These issues aren't pleasent.",28,,,
A MT,"January 1, 2021",5,"Incredible application. This app has revolutionized my day, prior to installing, I would do work without music in near silence. I needed something to fill the void of that, and Spotify greatly substituted. On the daily I listen to my music, and immediately perked up. One criticism I have of this application is the limited amount of ways to discover new music. I wish discover weekly was instead discover daily, but that is of course not the case. 5/5 stars, would download again.",2,,,
Caleb Willems,"January 1, 2021",5,I love Spotify and have been paying for Premium for a few years now. The last glitch I experienced has been fixed. Thanks Spotify!,3,,,
Sarah Dunning,"January 1, 2021",5,"Seriously I'm so thankful for Spotify! Any and every time I want to slip away from reality weather it be at work or home or even just driving to the store, Spotify is always there for me!! I don't know what I'd do without music, and I'm so thankful I decided to finally give Spotify a chance!! Definitely haven't been the least bit disappointed!!!",3,,,
valentine,"December 29, 2020",2,"Spotify has been downgrading a lot over the past years, like many other apps. You are basically forced to get Premium to enjoy the app. Back then you had fewer ads and the only other downside was that you couldn't listen offline. Now you can't even fkcing choose what songs you want to listen to, which is this apps whole purpose??? Listen to the music you like?",34,,,
Christopher Nez,"December 31, 2020",1,"Complete utter GARBAGE!! I can't listen to a song I want for more than 10-15 seconds. It will automatically switch songs for no reason and gives me unknown artist that I have no clue who they are. I pay for the premium with no ads but I'm looking to get my money back. I have uninstalled and installed it 3 times so far and keeps doing the same thing. As I'm typing this review, the ap keeps opening up and playing music from random artists. This Complete BS! FIX THIS NOW!!",7,,,
Andres Pedrin,"December 29, 2020",2,"I like the amount of music is on the app and I also like a lot of the mixes. The way the app operates is garbage. It won't pause probably, especially for video. The time on the bar does not match the actual video. If I close the app it does not save where I left the video. A times the video will keep playing with no sound. Good format, bad operation.",17,,,
Mircea Mititelu,"December 30, 2020",2,"The quality of the app is close to unusable by someone who actually likes to listen a band/album. If you like to listen to useless crappy covers of the same song you just listened and stuff or to get stupid playlists, this is your stuff. Easier to have mp3s on the phone for the car or whatever. Plus they do not have a whole bunch of bands that can actually sing. 2 stars because it works.",10,,,
samantha medina,"December 31, 2020",4,"It was going well for a while, but recently all of my data was erased. My playlists, podcast, everything was gone. Also, I don't like how spotify won't let us see our emails/passwords. I've had to create several different emails and spent hours recreating a playlist when it could have easily been avoided. Overall though, it's a great app. (Edit: nevermid guys, its all back lol. i guess it was just updating, sorry Spotify)",2,,,
Louzet Legaspi,"December 29, 2020",3,There are plenty of songs to listen and it is great however I always encounter problem when they have an update. I cannot search or download any songs when they have an update and it always says no connection when my internet is working perfectly fine. Hope you can look into it and fix it. But anyway it is a great app to find and listen songs especially when you are in premium.,11,,,
Natalie Torres,"December 31, 2020",2,"Update issues Since the last update the running time of the song stops, but the song keeps playing. Also, when connected to my car if I push to forward 10 secs, since the running time stays the same it goes back to that time. The same problem happens when not connected to car. It makes it especially confusing when listening to podcasts. Need help.",8,,,
# CYN1CAL_SOURZ,"December 28, 2020",1,This app was good but it's up in flames now. Want to listen to a song too bad sit down and wait for it to randomly shuffle play even if your playlist has more than a thousand songs. Did I mention you can skip songs? Not like it matters anyway you get about 6. oh they also give force you to listen to music that isnt even on your playlist. and that's not the best part 2 skips in you get smacked in the face by wave of ads and when your fresh out you have to wait an hour just for 1 extra skip. Sad!,42,,,
Barefoot_ Boi,"December 31, 2020",2,"I do enjoy that I can listen to most of my music using this app but it isn't real efficient. I get an add after listening to every song and it is quite frustrating. I also think the app would be more efficient if you could type a lyrics of a song into a search bar and a song would be found for you, just a recommendation. I dont reccomend this app.",7,,,
Nicholas Butler,"December 29, 2020",1,"The app is actual trash. I've used spotify premium for 8 years on Android, and it has only gotten worse. It takes several minutes to load the app even when the vast majority of songs are download to my device. It's gotten to the point where I expect it not to load any song when I open the open to listen to music for a short drive in the city where I live, with plentiful reception.",32,,,
onewapani,"December 30, 2020",1,"I cannot log in. When a verification link is sent to my email, I click on it immediately and it says the verification link has expired. I've tried to reach customer support, but you have to log in to even talk to them. Obviously this is a problem because I can't log in. The system is made for you to go in circles without answers. Spotify, do not respond to this with an automated message that says contact support. Been there, done that, can't log in therefore I can't even get any support!",10,,,
i,"December 31, 2020",1,I used to use Spotify all the time and had to unsubscribe due to the amount of tech problems. The app is slow and playlists don't load. You'd think with one of the best engineering teams apparently in the world it would be more consistent. I am having problems with both the desktop and mobile app. Also my account got hacked into so they obviously dont enforce high security standards. I never write reviews however wanted to show how disappointed I am with this. I welcome alternatives...thanks 😊,4,,,
Beth Rippen,"December 30, 2020",1,"I'm a fan of a lot of the content on Spotify, but the app will randomly and repeatedly pause or close without me touching my phone. When I'm doing dishes/gardening/handling raw meat/etc. that's extra aggravating because I can't just start it up again right away. No way am I paying for a subscription when the only way I listen doesn't work well.",14,,,
Tod and Heather Sprague,"December 30, 2020",2,"I generally love Spotify, but I am starting to get seriously tired of the CONSTANT issues with the app working!! I can have full bars and the app will say I'm not connected to the internet....I can open the app and everything looks fine, but it refuses to play; restarting the app never works, restarting my phone makes it work occasionally and I seem to have to uninstall then reinstall the app at least once a week to get it to work.",11,,,
Melissa Hanson,"December 31, 2020",4,I've been using this app for a couple of years. Just recently I've been having trouble keeps saying its offline and I've made sure it's not and I have internet connection still says I'm offline. I tried logging out and logging back in but when I put password in just tells me I'm not connected click to connect then tells me it can't do it t this time.,4,,,
Miranda Thomas,"December 31, 2020",4,"Paying for premium is worth it. I love the wide array of podcasts available. Playlists are easy to create and I've only ever encountered two or three songs that I wanted, but were unavailable. My only issue is that the app becomes unbearably slow over time. However, a quick uninstall and reinstall solved the problem for me.",2,,,
Claire Valente,"December 30, 2020",2,4 years of premium Spotify was good but it's going downhill l and I plan to cancel in March and find a better alternative. My frustrations are: 1. It now plays silence quite often. It seems to be Spotify checking if you're still listening. Inconvenient if you're eg washing the dishes. 2. It made me start a new contract until March when my bank card expired in Oct. Instead of updating the payment details. In hindsight I should have cancelled. 3. It played an ad yesterday - on premium. Unreliable,4,,,
Stuart Kahler,"December 31, 2020",1,"Even if I download audio, it won't start playing until it connects online. It also locks up most of the controls and display when I listen to long podcasts to the end. Like I get out of my car (bluetooth disconnect) and it starts playing again and I can't shut it off. Force closing the app doesn't work. I have to fully reboot my phone to make it work again. No picture in picture like youtube is a major disappointment since I'm forced to use this terrible app to listen to Joe Rogan now.",3,,,
Yasmin Houston,"December 29, 2020",3,"Ok, why is it that when i make a playlist it gives me random songs? And i can't even take them off, like why? I also don't like how you can only preview the songs, why cant you just tap them then you're able to listen to the whole song. But it's good because you don't need internet to listen to your songs. It has a lot of songs to choose from and any song you need your sure to find it there, like the app lots and it has its cons but its a good app.",10,,,
Hugh Crissman,"December 29, 2020",1,"As a music streaming app, this app is acceptable. As a podcasting app, it falls terribly short, bordering on barely functional. I have been super disappointed. The list of problems related to podcasts are too numerous to list, but here's a few. Offline mode is laughable. Downloaded podcasts still use streaming unless you go into settings to toggle to offline mode, then need to toggle back for music or other content. Podcasts loose progress when switching between various modes (car mode, video playing mode, audio only, and playing via android auto). As much money as they are dumping into podcasts, you would think they would put serious effort into refining the app to manage podcasts better. I couldn't be more frustrated. Unfortunately, due to exclusive deals, they are holding my favorite podcasts hostage.",10,,,
Marsh,"December 29, 2020",1,"Its good, could be better -There needs to be a separate/master library for songs, so its easier to refer back to all of your downloads in one place. -Making playlists is an awful experience. You should be able to choose multiple songs at once to add to your Playlist. Picking a song one by one is time consuming.-android version needs to have a way to interact with Spotify via the drop down menu, like Samsung music does. -I paid for premium. I should be able to do things any other music app does",5,,,
Donie A realy,"December 30, 2020",2,"Pay for Premium but still get Ads in Podcasts. Spoken Ads in Podcasts are pain and should be removed when you pay for premium. Otherwise, what's the point? The App is very glitchy. Plays songs when the App isn't even active. Shows one song while playing another. Tracks and Podcasts skip/stick on a regular basis. I have waited for Spotify to fix these issues as there are alot of reviews saying the same thing. Unfortunately, this hasn't happened. Downloaded Acast. Hopefully it's better!",3,,,
Lucy-Anne Webster,"December 28, 2020",3,"I have premium and it's great. But why can't you use playlist folders on mobile? I had a few xmas playlists that I didn't want cluttering up my library for the whole year, so put them in a folder to keep them out the way (using the desktop app). But when I go on mobile, the folder says it has 0 playlists in it and all the xmas playlists are just out in my library? I looked it up and a lot of people are complaining about folders not working on mobile. It's so stupid and annoying pls fix this :(",4,,,
Jimmy Alderman,"December 28, 2020",2,"I switched to Spotify from Google Podcasts for a podcast that recently went Spotify-exclusive. The Spotify app has been incredibly frustrating to use because of the bugs. To name a few: it will randomly switch to other podcasts, it will not save the spot I finished listening, it will get stuck on an ad that won't play, it will randomly crash. It works but these bugs are small annoyances that build up over time.",6,,,
Joe Slaughter,"December 27, 2020",2,"I've had spotify for about a year, and it's had so many bugs recently, I'm seriously considering moving to some other music app. half the time my downloaded songs won't play, or I have to go completely to airplane mode for anything to even load even though my internet is fine, and it's so annoying. updating the app and restarting my phone doesn't work. I feel like I'm constantly yelling at it, ""what are you doing??"" I really do like the app, but it's so ridiculous now",32,,,
Ruben Rodriguez,"December 30, 2020",1,I would like to echo some of the other comments here. The app would be great if it were not for all of the bugs. The app regularly gets stuck with the song information for one of the songs and does not change when the music does. The only way to get it out of this is to force stop the app or restart my phone. This becomes frustrating because if I hear a new song that I like I have no way of knowing who the artist is. I will give one star until this is fixed. I'm afraid that if it is not fixed soon I will have to uninstall the app.,7,,,
Aarushi Kalra,"December 26, 2020",4,"It's a really great app to listen to music whenever you feel!! I am not even annoyed from the ads that much 😅 But just I think you should add those songs also which are available on YouTube and are from growing artists with lesser fans. Also, please try to work on the method of making a playlist..it is too much time consuming. Overall..I am really happy from this app and I am using it since it was launched in India 😄",9,,,
kyle degroff,"December 29, 2020",1,Used to love and brag that I have premium on spotify. I pay for no commercials but now they put commercials in the podcasts when they are in the middle of talking. Ruining the whole experience of the podcast. I will gladly pay again when this is fixed. But for now I'm canceling because I'm not getting what I paid for. Very disappointing.,5,,,
Alex Purtov,"December 31, 2020",3,"It's great for compiling your own playlists and finding artists and everything, but the whole recommendation thing is not good... All daily playlists consist of the same stuff day after day, with like 5 new songs. The same goes for recommendations based on your playlists,even after refreshing the same stuff comes back. Likes/dislikes don't help to filter anything out either, so it's quite annoying sometimes to be hearing the songs you don't like everyday. And I'm using premium version btw...",0,,,
Barrie Wilmot,"December 31, 2020",2,"I've had an issue twice now where podcast episodes simply will not play. I can play music, I can play literally anything else besides podcasts. I've cleared data, cleared cache, and the only thing that's worked is to fully delete and reinstall the app. The worst part is that this time I was listening to a podcast when it happened - the episode ended and the next one simply wouldn't start. Tried multiple different podcasts and nothing.",3,,,
Ennards Exotic Butters UnU,"December 28, 2020",4,"I love the app, but I have a few problems.Some ads go twice in a row, them it asks you to watch one to not get them for 30 minutes.And that sometimes doesn't work.The playlist organization annoys me the most,since it's always the ""recommend"" ones in your playlist,I prefer if they were in order,like when you first added them or last added them.and last problem, the song September for Jeff The Killer is basically non-existent. It's there's, but I'm unable to play it. That's all I have issues with!",3,,,
Matt McCool,"December 29, 2020",3,"Requires frequent phone restarts on Galaxy S10+/Android 10. Pull down and lock screen player controls stop working frequently, and the only way to get them back is to restart the device. All notifications are allowed in the app settings. They constantly bombard you with marketing to pay for their service, but there's no way I'd pay for an app that is this crippled.",8,,,
Eve 918,"December 28, 2020",5,I enjoy listening to music through Spotify app. It is my favorite music service. I have found many old songs here and have added them to my different playlists so I can play them whenever I want and also share them with my family and friends. Spotify didn't disappoint me on Christmas either with its many Christmas songs all throughout the whole month of December. Spotify is the app for me. :-),9,,,
pavan datta,"December 29, 2020",3,"I would very much like to give you a 5 star rating, but you got some serious flaws. I am using spotify premium for a while I like to ho on to trips with my favorite songs downloaded, but then I couldn't hear them if I can't login through online, seriously! Why would I downloaded em if I could just have internet in Remote areas. Also when I have a long trip where I can't have access to internet, then boom, lost completely. I mean What is the use by having premium I can't have offline > a day :(",3,,,
