user_name,date,num_stars,review,num_likes,user_name_answer,date_answer,answer
Anushka Dutta,"January 1, 2021",4,"This app is really amazing with all its brand new tech features...yet I rate it 4 stars because I feel that you should add some more ordinary features such as one should be able to share an item to more than 5 chats, one should be able to share more than 30 images, you should also have a feature where we can see our chat to whom we have sent the most no. of msgs, pics, etc, and should also have a feature where we can search all the gifs as it is really irritating to scroll through all those gifs",1848,,,
Kfpcraft,"December 31, 2020",5,"This is a great app. I see it as better than the built-in phone calling feature as with just Wifi one can make cheap overseas calls. But, I have a bug/glitch report: sometimes when Whatsapp is opened and i unlock my phone, the chat would show in messages from some time ago instead of the lastest messages at the bottom of the list of messages.",2118,,,
Sara Jahed Azad,"December 29, 2020",2,"Not only does it forbid you from deleting your message after like an hour, but also it lets the other know that you have deleted a message in case you regret sending your message before the time limit. It also kills the quality of photos.it changes the format of media to sth strange so you can't open the transferred files on your PC unless you have some sort of special media player I guess.",5171,,,
Jr Sami,"December 30, 2020",4,Love this app for it's simple user interface. Idk why but today my account was banned for violating terms and conditions. I emailed them and they responded me properly. The only reason I'm telling this because the way the responded is indeed better than other social media apps and . And another thing if they could add small video notes it would be much enjoyable to use.,1306,,,
Ruel,"January 1, 2021",1,notification alerts are a BIG FAIL!!! incoming whatsapp calls are not ringing!!! and incoming whatsapp texts do not have notification alerts!!! very inconvenient. always have to either: (1) delete and reinstall app; or (2) clear the app's cache and data and then reset up the app again; or (3) have to keep the app open all the time. W.T.F!!?!,73,,,
Phillip S K,"December 8, 2020",2,"Since you were bought out, the system is a pain in the but. It's almost seems like it's deliberately being made awkward to use. Previous I could enter a name and number a invitation was sent by What's App and we could communicate. Now it comes back taking me to download Facebook Messenger. So I now have to find another app to communicate with. I have had enough of Facebook so this is the last thing I want.",14092,,,
Hannah,"January 1, 2021",4,I really like it and it is very nice. I have a few features i want added bit these are my personal opinion (1. Let me pin more people like make it 6 or so (2. Put a type section on the call feature because my freinds and I have called and someone can't talk but they can text so it will help a lot. For me it is a little laggy like they typing is delayed by a bit and if i go to my satus not all the viewers are listed. All in all amzing app good for business and personal use. I like the layout thz,46,,,
Abhishek Kushwaha,"December 27, 2020",3,There should be some important features like... 1. Regarding calling feature • Call history must be shown in same window for same person. 2. Regarding chat feature • Recent search terms should be shown under search bar. • Way to see online contacts in same window 3. Way to continuously share my location to my family members so that they can see my location whenever they want like Google Map.,570,,,
Ike Bodner,"December 30, 2020",5,"To the WhatsApp developer team: an issue or two I've noticed over the last few updates - when on call via WhatsApp my screen goes black and continues the call but 8 have no options to hang up, speakerphone etc... Another issue is my phone calls will end after 6:02 minutes with certain contacts. I'm not sure why. The call will keep going but both of our mics will be muted. Just a heads up",308,,,
Saji Sebastian,"December 29, 2020",4,"Nice App... I am giving 4 stars because sometimes the emojies doesn't work. When we change emoji colour sometimes it will not be changed and go to the ordinary colour.. And also I have a lot benefits.. We can call people world wide..and have group call, make groups.. Such as school groups, buissness groups, etc etc...We can also have a lot chats in the groups and the admin can change settings.. Thank you..😊",356,,,
Mandy F. Liew,"December 28, 2020",3,"I normally love WhatsApp and would have given 5 stars. But now we can only forward a message to 5 people at once. I have to send a message to hundreds of my customers every day, but can only send to 5 at one time. Thanks so much for making the app so inconvenient. Wasting so much time and patience.",483,,,
LucKyStAr lEc,"December 5, 2020",1,"It was a good app for communication but it is not good since last few months when its broadcast function is not functioning. I used to share messages via broadcast function and the effect was good. However, the messages that I had broadcasted to my recipients were no longer been seen or read by them. Hence, no more reply from them. It is disgusting!",5964,,,
Zahir Gaffoor,"December 19, 2020",1,"Update #1, one month later and still no fix. Very sad. Such a great app! Sadly since the last update recipients of my broadcast list are not all receiving my messages. As a test, I checked my wife's WhatsApp and no sign of the broadcast, however on my side it shows delivered to her(although not yet read). Also, it would be sooo useful if a msg could be forwarded to a broadcast list. Please look into this. I'd appreciate some feedback regarding the ""failure to transmit"" on the broadcast list.",10235,,,
